name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
KEC International,4.0,4.2k,Engineering & Construction ,Mumbai,300,12.4k,361,4
Mahindra Logistics,3.8,4.2k,Logistics ,Mumbai,230,13.1k,229,37
EY Global Delivery Services ( EY GDS),3.5,4.1k,Accounting & Auditing ,Bangalore / Bengaluru,51,39.9k,824,13
ITC Infotech,3.7,4.1k,IT Services & Consulting ,Bangalore / Bengaluru,66,28.8k,385,144
Varun Beverages,4.0,4.1k,Beverage ,New Delhi,343,11.3k,288,45
Aditya Birla Fashion and Retail,4.1,4.1k,Fashion & Textile ,Bangalore / Bengaluru,271,12.1k,239,83
Randstad,3.7,4k,Recruitment ,Hyderabad / Secunderabad,323,15.5k,293,45
CARS24,3.5,4k,Internet ,Gurgaon / Gurugram,167,14.7k,372,95
Deutsche Bank,3.9,4k,Banking ,Pune,42,34k,397,1.5k
Hyundai Motor India Limited,4.2,4k,Automobile ,Chennai,275,13.1k,297,--
L&T Finance,3.8,3.9k,NBFC ,Mumbai,570,11.2k,185,1
R1 RCM,3.8,3.9k,BPO ,New Delhi,42,19.9k,332,217
Havells,3.9,3.9k,Electrical Equipment ,Noida,233,13.8k,246,42
Intas Pharmaceuticals,4.1,3.9k,Pharma ,Ahmedabad,137,16.5k,241,38
Tata AIA Life Insurance,4.0,3.8k,Insurance ,Mumbai,399,13.6k,212,428
Bajaj Auto,3.8,3.8k,Automobile ,Pune,294,13.5k,298,101
Team Lease,3.9,3.8k,Recruitment ,Bangalore / Bengaluru,372,15.4k,232,1
Hetero,3.8,3.8k,Pharma ,Hyderabad / Secunderabad,62,14.6k,261,137
Access Healthcare,3.9,3.8k,Analytics & KPO ,Chennai,45,22.6k,235,266
Utkarsh Small Finance Bank,3.8,3.7k,Banking ,Varanasi,367,10.1k,258,21
Macleods Pharmaceuticals,3.6,3.7k,Pharma ,Mumbai,118,15.3k,232,11
Thermax Limited,4.1,3.7k,Industrial Machinery ,Pune,228,12.5k,288,58
Oyo Rooms,3.2,3.7k,Internet ,Gurgaon / Gurugram,119,16.9k,235,121
Tata Communications,4.0,3.7k,Telecom ,Pune,98,23.1k,274,298
John Deere,4.0,3.7k,Industrial Machinery ,Pune,143,15k,248,13
LG Electronics,3.9,3.7k,Consumer Electronics & Appliances ,Pune,284,10.4k,238,--
Royal Enfield,4.2,3.7k,Automobile ,Chennai,354,13.9k,178,54
Aakash Educational Services,3.3,3.7k,Education & Training ,New Delhi,235,12.6k,338,50
Reliance Communications,4.0,3.7k,Telecom ,Mumbai,458,9.9k,98,--
VE Commercial Vehicles,3.9,3.6k,Automobile ,Indore,147,13.1k,243,6
Lenskart,3.2,3.6k,Internet ,New Delhi,226,12.1k,387,184
HDFC Ergo General Insurance,3.9,3.6k,Insurance ,Mumbai,306,11.8k,173,3
Berger Paints,3.7,3.6k,Chemicals ,Kolkata,317,9.2k,322,155
Jubilant Foods Works,3.7,3.6k,Hospitality ,New Delhi,240,8.5k,209,132
Carelon Global Solutions,3.8,3.6k,Software Product ,Bangalore / Bengaluru,17,25.6k,386,28
DCB Bank,3.8,3.6k,Banking ,Mumbai,329,9.3k,204,7
XpressBees,4.2,3.5k,Internet ,Pune,462,7.8k,382,5
Cummins,4.3,3.5k,Industrial Machinery ,Pune,107,15k,258,575
Bank of America,4.2,3.5k,Banking ,Gurgaon / Gurugram,33,26.5k,265,1
Hindalco Industries,4.2,3.5k,Metals & Mining ,Sambalpur,118,11.3k,254,8
Jindal Steel and Power,3.9,3.5k,Iron & Steel ,Angul,160,14.6k,353,31
Publicis Sapient,3.5,3.5k,IT Services & Consulting ,Bangalore / Bengaluru,44,28.9k,654,276
Viatris,4.2,3.5k,Pharma ,Hyderabad / Secunderabad,78,13.7k,153,6
American Express,4.1,3.5k,Financial Services ,Gurgaon / Gurugram,50,22.3k,391,204
Subros,3.8,3.5k,Auto Components ,Noida,80,12.2k,197,2
State Street Corporation,3.6,3.5k,Financial Services ,Bangalore / Bengaluru,31,29.1k,260,1
RBL Bank,3.5,3.5k,Banking ,Mumbai,259,17.4k,212,42
PVR Inox,3.9,3.5k,Media & Entertainment ,New Delhi,148,9.3k,185,37
Automatic Data Processing (ADP),4.0,3.4k,Software Product ,Hyderabad / Secunderabad,38,20.7k,267,28
Pidilite Industries,4.3,3.4k,Chemicals ,Mumbai,285,10.5k,238,4
Alembic Pharmaceuticals,4.0,3.4k,Pharma ,Vadodara,174,14.5k,232,77
Samvardhana Motherson Group,3.7,3.4k,Auto Components ,Noida,88,12.1k,243,16
Sodexo,4.0,3.4k,Facility Management Services ,Mumbai,150,9.7k,179,816
Godrej & Boyce Manufacturing,3.9,3.3k,Consumer Electronics & Appliances ,Mumbai,146,15.1k,202,51
Maersk,4.1,3.3k,Logistics ,Chennai,46,18.3k,228,69
Synechron,3.5,3.3k,IT Services & Consulting ,Pune,31,26.7k,390,100
Abbott,4.1,3.3k,Pharma ,Mumbai,194,11.2k,162,265
Escorts Kubota Limited,4.1,3.3k,Automobile ,Faridabad,143,12.4k,257,2
Kogta Financial India Limited,4.7,3.3k,NBFC ,Jaipur,237,1.7k,129,84
Birlasoft,3.5,3.3k,IT Services & Consulting ,Pune,45,28.9k,305,6
Dabur,3.9,3.3k,FMCG ,New Delhi,299,8.2k,301,29
Bharat Electronics,4.2,3.3k,Electronics Manufacturing ,Bangalore / Bengaluru,81,12.1k,228,--
Reliance Digital,4.1,3.3k,Retail ,Mumbai,358,7.9k,148,--
Cogent E Services,3.2,3.3k,,Noida,49,9.7k,269,1
Kyndryl,4.0,3.3k,IT Services & Consulting ,Bangalore / Bengaluru,33,23.4k,208,68
Aarti Industries,4.1,3.3k,Agro Chemicals ,Bharuch,54,13.8k,303,42
Indian Oil Corporation,4.4,3.3k,Oil & Gas ,New Delhi,294,7.4k,220,--
PNB MetLife,3.4,3.2k,Insurance ,New Delhi,386,7.9k,173,7
Glenmark Pharmaceuticals,3.8,3.2k,Pharma ,Mumbai,161,11.4k,161,29
Kotak Mahindara Life Insurance,3.6,3.2k,Insurance ,Mumbai,238,12.1k,243,5k
Aditya Birla Sun Life Insurance,4.0,3.2k,Insurance ,Mumbai,453,9.5k,154,--
Ipca Laboratories,3.9,3.2k,Pharma ,Mumbai,149,11.2k,175,43
Reliance Projects & Property Management Services,4.0,3.2k,IT Services & Consulting ,Kolkata,587,7.1k,187,--
"NTT DATA, Inc.",4.0,3.2k,IT Services & Consulting ,Bangalore / Bengaluru,31,22k,136,79
Johnson Controls,3.5,3.2k,Industrial Automation ,Pune,53,16.4k,281,141
Grasim Industries,4.0,3.2k,Building Material ,Bharuch,211,11.2k,242,1
KPIT Technologies,3.2,3.2k,Software Product ,Pune,41,21.6k,316,6
Ford Motor,4.2,3.2k,Automobile ,Chennai,126,14.4k,163,4
JK Cement,4.0,3.2k,Building Material ,New Delhi,300,9.3k,302,1
UBS,3.9,3.1k,Financial Services ,Pune,19,30k,355,1
MRF Tyres,3.6,3.1k,Auto Components ,Chennai,184,11.9k,335,17
Alkem Laboratories,3.9,3.1k,Pharma ,Mumbai,182,9.4k,175,58
Tata Capital,4.0,3.1k,NBFC ,Mumbai,303,10.2k,172,4.3k
IGT Solutions,3.3,3.1k,IT Services & Consulting ,New Delhi,48,13k,239,77
24/7 Customer,3.5,3.1k,Software Product ,Bangalore / Bengaluru,35,11.5k,179,41
Vishal Mega Mart,3.7,3.1k,Retail ,New Delhi,350,6.1k,180,--
Honda Motorcycle & Scooter,4.1,3.1k,Automobile ,Gurgaon / Gurugram,270,10.7k,174,--
Hindustan Coca Cola Beverages,4.1,3.1k,Beverage ,Bangalore / Bengaluru,243,7.3k,150,49
HARMAN,3.8,3k,Consumer Electronics & Appliances ,Bangalore / Bengaluru,38,23.7k,282,216
Ceat Tyres,3.9,3k,Auto Components ,Nagpur,132,12.5k,186,10
Reliance Nippon Life Insurance,3.4,3k,Insurance ,Mumbai,466,8.2k,153,32
Indian Air Force,4.6,3k,Defence & Aerospace ,New Delhi,129,5.1k,66,--
NatWest Group,4.0,3k,Banking ,Gurgaon / Gurugram,24,19.5k,219,--
Marpu Foundation,4.8,3k,Non-Profit ,Hyderabad / Secunderabad,57,55,142,--
Future Group,4.2,3k,Retail ,Mumbai,205,7.5k,80,--
ABB,4.1,3k,Industrial Machinery ,Bangalore / Bengaluru,103,16.2k,254,--
DTDC Express,3.7,3k,Logistics ,New Delhi,254,8.3k,171,29
ArcelorMittal Nippon Steel,4.1,3k,Iron & Steel ,Surat,81,10.7k,251,4
Conduent,3.4,3k,BPO ,Bangalore / Bengaluru,32,16.7k,214,59
InterGlobe Aviation,3.5,2.9k,Aviation ,New Delhi,98,12.9k,337,37
RSPL Group,4.0,2.9k,FMCG ,Kanpur,232,9.1k,222,38
GeBBS Healthcare Solutions,3.6,2.9k,Healthcare ,Mumbai,23,11.2k,159,77
Barclays,3.8,2.9k,Banking ,Pune,36,27.6k,289,--
Tata Technologies,3.5,2.9k,Engineering & Construction ,Pune,50,21.1k,291,127
Alstom Transportation,3.7,2.9k,Engineering & Construction ,Bangalore / Bengaluru,73,13.5k,261,252
UNO Minda,3.9,2.9k,Auto Components ,Pune,99,10k,203,13
AGS Health,4.0,2.9k,IT Services & Consulting ,Chennai,58,13.3k,191,27
Tata AIG,4.1,2.9k,Insurance ,Mumbai,248,10.8k,176,128
Max Healthcare,3.9,2.9k,Healthcare ,New Delhi,73,9.9k,166,85
